restaurant,url,reviews/0/review,reviews/0/rating,reviews/1/review,reviews/1/rating,reviews/2/review,reviews/2/rating,reviews/3/review,reviews/3/rating,reviews/4/review,reviews/4/rating
Favela,https://www.zomato.com/pune/favela-hinjawadi/reviews,All of us who dined here ended up with stomach infections the same day. Clearly something was wrong with the food hygiene or freshness. This is not just disappointing — it's dangerous. Would not recommend this place 👎,1,"went there to celebrate our anniversary, it wasn't a good experience. The ambience is average, food is not up to the mark",5,Excellent food Quality and Service,3,"Fantastic Dining Experience at Favela Restaurant!

I had an amazing time at Favela Restaurant! The ambiance is vibrant and beautifully designed — a perfect blend of comfort and style. The staff were warm, attentive, and made sure we were well taken care of throughout our visit.Especially sunny has served us and he is amazing.

The food was absolutely delicious — every dish was packed with flavor and presented beautifully. From starters to dessert, everything exceeded expectations. The menu offers a great variety, and the quality of ingredients really stands out.

Highly recommend Favela Restaurant for anyone looking for a memorable dining experience with great food, service, and...read more",2,,
Tettoricca,https://www.zomato.com/pune/tettoricca-hinjawadi/reviews,Nice evening outing here. Rustom the waiter was really good at service. Enjoyed the night,1,food is tasty and service also good,5,"Good food with good service. Well spoken staff with good recommendations.
Awesome vibe for a cute place.",3,"Service was fantastic, Thanks to Sona for the food suggestions.
The food was perfect. Must visit for friends and family.",2,,
HYDE - Kitchen & Bar,https://www.zomato.com/pune/hyde-kitchen-bar-expressway/reviews,"This place is not worth the money we paid for.
Quality of food is very average.
service is also not good
No live music / Dance floor.",5,"food was very bad and too salty we have changed 2 times but still the test was bad we ordered biryani , biryani was like steamed rice .",2,,,,,,
Intactu,https://www.zomato.com/pune/intactu-hinjawadi/reviews,"The place was really nice, the service was also good as well as the staff. Must visit:)",5,,,,,,,,
The 3 Musketeers Cafe & Bar,https://www.zomato.com/pune/the-3-musketeers-cafe-bar-hinjawadi/reviews,Thanks for the amazing hospitality by Sonu. We really enjoyed a lot with live music and delicious food.,4,Food was good. Service by Sonu was great.,3,,,,,,
I Amsterdam,https://www.zomato.com/pune/i-amsterdam-hinjawadi/reviews,Amazing service by Sudeep,1,"Food was nice ! Bit salty again depends on your taste buds, I prefer less salty that way bit salty",5,Great food,4,Meal was good. Amazing service by Munna.,2,,
Agent Jack's,https://www.zomato.com/pune/agent-jacks-baner/reviews,Service was real great people were polite,1,I like food and ambiance I specially like agent jack maze platter,5,Ambience and service is good,4,good food and nice vibe...,3,,
Xia By Hilton Garden Inn,https://www.zomato.com/pune/xia-by-hilton-garden-inn-hinjawadi/reviews,"Amazing food, and had an awesome experience here, as well the service is top and Nilesh has helped us well in the selection of the menu. Would recommend others as well.",1,Good Asian Food,5,Food was really great and Avinash's service was really fast and good.,3,,,,
Bao Story,https://www.zomato.com/pune/bao-story-1-hinjawadi/reviews,great food,5,Food kinda bland,4,,,,,,
Momentt- Enrise By Sayaji,https://www.zomato.com/pune/momentt-enrise-by-sayaji-expressway/reviews,"Both hara bhara kebab and corn tikki were overcooked to the point where the almost looked burnt instead of tasty. The Paneer tikka was definitely not marinaded properly because there was almost no masala sticking to the Paneer and it tasted extremely bland.
Tomato soup was nice and Manchurian starter was good. Not a great experience overall because I have received much better tasting food from this exact same place for same items during my previous orders.",4,,,,,,,,
